DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
E.ON Energidistribution AB;Ådalen Lokal;ALL;DISTRIBUTION;SE2;SE
E.ON Energidistribution AB;Ådalen region;ADL;REGIONAL;SE2;SE
Svenska kraftnät;Ajaure-Grundfors;AJG;TRANSMISSION;SE2;SE
E.ON Energidistribution AB;Åkersberga;AKB;DISTRIBUTION;SE3;SE
Kraftnät Åland (SE);Åland;ALD;BORDER;SE3;SE
Ålem Energi Elnät AB;Ålem;ALM;DISTRIBUTION;SE4;SE
Alingsås Energi Elnät AB;Alingsås;ALS;DISTRIBUTION;SE3;SE
Almnäs Elnät AB;Almnäs;AMS;DISTRIBUTION;SE3;SE
Ellevio AB;Älvdalen;AVD;DISTRIBUTION;SE3;SE
Alvesta Elnät AB;Alvesta Köping;ALV;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Älvsbybygden;ABB;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Åmål;AML;DISTRIBUTION;SE3;SE
Härjeåns Nät AB;Ånge;ANE;DISTRIBUTION;SE2;SE
Öresundskraft Elnät AB;Ängelholmsbygden;AHB;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Ånge region;ANN;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Ångermanälven region;AMN;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Ardala;ARD;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Årjäng;ANG;DISTRIBUTION;SE3;SE
Mälarenergi AB;Aros;AOS;NONCON;SE3;SE
Årsunda Kraft-o Belysningsförening Upa;Årsunda;ARS;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Arvidsjaurbygden;AJB;DISTRIBUTION;SE1;SE
Arvika Elnät AB;Arvika;ARV;DISTRIBUTION;SE3;SE
Åsele Elnät AB;Åsele;ASL;DISTRIBUTION;SE2;SE
Åskälen Vindkraft Elnät AB;Åskälen;ASK;PRODUCTION;SE2;SE
Vattenfall Eldistribution AB;Avesta;AVE;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Avesta region;AVR;REGIONAL;SE3;SE
Baltic Cable AB;BAC;BAC;BORDER;SE4;SE
Bengtsfors Energi Nät AB;Bengtsfors;BEF;DISTRIBUTION;SE3;SE
Bergs tingslags elektriska AB;Berg;BRG;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Bergslagen Östra;BGO;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Bergslagen region;BGS;REGIONAL;SE3;SE
Ellevio AB;Bergvik region;BEV;REGIONAL;SE2;SE
Bjäre Kraft Elnät AB;Bjäre;BJR;DISTRIBUTION;SE4;SE
Bjärke Energi Ek. För.;Bjärke;BKE;DISTRIBUTION;SE3;SE
Upplands Energi;Björklinge;BJL;DISTRIBUTION;SE3;SE
Kraftringen Nät AB;Björnekulla;BJK;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Björnlandet;BLT;REGIONAL;SE2;SE
E.ON Energidistribution AB;Blekinge;BLE;DISTRIBUTION;SE4;SE
Bliekevare Nät AB;Bliekevare;BLI;REGIONAL;SE2;SE
Bodens Energi Nät AB;Boden;BDN;DISTRIBUTION;SE1;SE
Ellevio AB;Bohuslän Norra;NBL;DISTRIBUTION;SE3;SE
Boo Energi ek. för;Boo;BOO;DISTRIBUTION;SE3;SE
Nätkraft Borås Infra AB;Borås;BRS;DISTRIBUTION;SE3;SE
Borgholm Energi Elnät AB;Borgholm;BHM;DISTRIBUTION;SE4;SE
Borlänge Energi Elnät AB;Borlänge;BRL;DISTRIBUTION;SE3;SE
Brännliden Nät AB;Brännliden;BLN;PRODUCTION;SE1;SE
Brittedals Elnät ek för;Brittedal;BDL;DISTRIBUTION;SE4;SE
Brobacken Nät AB;Brobacken;BBN;REGIONAL;SE1;SE
Bromölla Energi & Vatten AB;Bromölla;BMA;DISTRIBUTION;SE4;SE
Skellefteå Kraft Elnät AB;Bygdeå-Robertsfors;BYG;DISTRIBUTION;SE2;SE
Carlfors Bruk AB;Carlfors Bruk;CBR;DISTRIBUTION;SE3;SE
Ellevio AB;Dalarna region;DAL;REGIONAL;SE3;SE
Vattenfall Eldistribution AB;Dalsland med omnejd;DAD;DISTRIBUTION;SE3;SE
Östra Kinds Elnät AB;Dalstorp;DAP;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Danderyd;DAN;DISTRIBUTION;SE3;SE
Degerfors Elnät AB;Degerfors;DFS;DISTRIBUTION;SE3;SE
Övik Energi Nät AB;Domsjö Fabriksområde;DOF;DISTRIBUTION;SE2;SE
Dragaliden Net AB;Dragaliden;DLN;PRODUCTION;SE1;SE
Vattenfall Eldistribution AB;Drefviken;DRV;DISTRIBUTION;SE3;SE
Markbygden Net Väst AB;Dubblabergen;DBB;REGIONAL;SE1;SE
Ellevio AB;Edsbyn;EBN;DISTRIBUTION;SE2;SE
Ellevio AB;Ekeröarna;EKO;DISTRIBUTION;SE3;SE
Eksjö Elnät AB;Eksjö;ESJ;DISTRIBUTION;SE3;SE
Emmaboda Elnät AB;Emmaboda;EBA;DISTRIBUTION;SE4;SE
E.ON Energidistribution AB;Enköping;EKG;DISTRIBUTION;SE3;SE
Eskilstuna Energi och Miljö Elnät AB;Eskilstuna;ESK;DISTRIBUTION;SE3;SE
Ellevio AB;Fågelsjö Region;FLS;REGIONAL;SE2;SE
Västerbergslagens Elnät AB;Fagersta;FGA;DISTRIBUTION;SE3;SE
Falbygdens Energi Nät AB;Falbygden;FBN;DISTRIBUTION;SE3;SE
Falkenberg Energi Elnät AB;Falkenberg;FBG;DISTRIBUTION;SE4;SE
Falu Elnät AB;Falun;FLN;DISTRIBUTION;SE3;SE
Falu Elnät AB;Falun nordost;FLO;DISTRIBUTION;SE3;SE
Filipstad Energinät AB;Filipstad;FPD;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Finspångsbygden;FSB;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Flakaberget;FLB;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Flen;FLE;DISTRIBUTION;SE3;SE
Gävle Energi Elnät AB;Forsbacka;FOB;DISTRIBUTION;SE3;SE
Ellevio AB;Forsbacka Övre;FBA;REGIONAL;SE3;SE
Vattenfall Eldistribution AB;Främmestad;FMD;DISTRIBUTION;SE3;SE
Blåsjön Nät AB;Frostviken region;FRV;REGIONAL;SE2;SE
Gabrielsberget Net AB;Gabrielsberget;GBT;PRODUCTION;SE2;SE
Dala Energi Elnät AB;Gagnef;GNF;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Gammelstilla;GAM;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Garpenberg;GAB;DISTRIBUTION;SE3;SE
Vindpark Vänern Drift AB;Gässlingegrund;GLG;PRODUCTION;SE3;SE
Gävle Energi Elnät AB;Gävle;GVL;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Gideobygden;GDB;DISTRIBUTION;SE2;SE
Gislaved Energi Elnät AB;Gislaved;GIV;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Göta;GTA;DISTRIBUTION;SE3;SE
Göteborg Energi Nät AB;Göteborg;GBG;DISTRIBUTION;SE3;SE
Gotlands Elnät AB;Gotland;GTL;DISTRIBUTION;SE3;SE
Grästorp Energi ek för;Grästorp;GTP;DISTRIBUTION;SE3;SE
Ellevio AB;Grönviken Region;GRV;REGIONAL;SE2;SE
Ellevio AB;Gullspångsbygden;GBN;DISTRIBUTION;SE3;SE
Habo Energi Kraft AB;Habo;HBO;DISTRIBUTION;SE3;SE
Kraftringen Nät AB;Hallabro;HLB;DISTRIBUTION;SE4;SE
E.ON Energidistribution AB;Halland;HLD;DISTRIBUTION;SE4;SE
Ellevio AB;Halland Norra;NHA;DISTRIBUTION;SE3;SE
Hallstaviks Elverk ek för;Hallstavik;HVI;DISTRIBUTION;SE3;SE
Halmstads Energi och Miljö Nät AB;Halmstad;HMD;DISTRIBUTION;SE4;SE
Ellevio AB;Hälsingland;HAL;DISTRIBUTION;SE2;SE
Ellevio AB;Hälsingland Region;HAR;REGIONAL;SE2;SE
Ellevio AB;Hammarö;HMM;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Hammarstrand;HAM;DISTRIBUTION;SE2;SE
Ellevio AB;Hamra;HMR;DISTRIBUTION;SE2;SE
Härjeåns Nät AB;Härjeån;HJN;DISTRIBUTION;SE2;SE
Ellevio AB;Härjedalen region;HJD;REGIONAL;SE2;SE
Härnösand Elnät AB;Härnösand;HSD;DISTRIBUTION;SE2;SE
E.ON Energidistribution AB;Harrsele region;HRS;REGIONAL;SE2;SE
Härryda Energi AB;Härryda;HRA;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Hästberget;HBT;DISTRIBUTION;SE3;SE
Havsnäs Elnät AB;Havsnäs;HVN;REGIONAL;SE2;SE
Sala-Heby Energi Elnät AB;Heby;HBY;DISTRIBUTION;SE3;SE
Hedemora Energi AB;Hedemorahyttorna;HMH;DISTRIBUTION;SE3;SE
Gävle Energi Elnät AB;Hedesunda;HDS;DISTRIBUTION;SE3;SE
Öresundskraft Elnät AB;Helsingborg;HBG;DISTRIBUTION;SE4;SE
Herrljunga Elnät AB;Herrljunga;HLJ;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Hjälmaren Region;HJR;REGIONAL;SE3;SE
Hjärtums Elförening ek för;Hjärtum;HJM;DISTRIBUTION;SE3;SE
Hjo Elnät AB;Hjo;HJO;DISTRIBUTION;SE3;SE
Gävle Energi Elnät AB;Hofors;HOF;DISTRIBUTION;SE3;SE
Ovako Sweden AB;Hofors Bruk;HFB;NONCON;SE3;SE
Höganäs Energi Elnät AB;Höganäs;HOG;DISTRIBUTION;SE4;SE
Kraftringen Nät AB;Höör;HOR;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Horndal;HDL;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Huddinge;HDG;DISTRIBUTION;SE3;SE
Ellevio AB;Hudiksvall;HDV;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Huvudsta;HUV;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Ingarö;ING;DISTRIBUTION;SE3;SE
Jämtkraft Elnät AB;Jämtland region;JMT;REGIONAL;SE2;SE
Jämtkraft Elnät AB;Jämtlandsbygden;JML;DISTRIBUTION;SE2;SE
Vattenfall Kraftgården AB;Järkvissle;JKE;REGIONAL;SE2;SE
Nacka Energi AB;Järla;JRA;DISTRIBUTION;SE3;SE
Fortum Sverige AB;Järpströmmen region;JPS;REGIONAL;SE2;SE
Ellevio AB;Järva-Danderyd;JDA;REGIONAL;SE3;SE
Jönköping Energi Nät AB;Jönköping;JNK;DISTRIBUTION;SE3;SE
Jukkasjärvi Sockens Belysningsförening;Jukkasjärvi;JUJ;DISTRIBUTION;SE1;SE
Fortum Sverige AB;Juveln;JUV;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Kalixbygden;KAB;DISTRIBUTION;SE1;SE
Kalmar Energi Elnät AB;Kalmar;KMR;DISTRIBUTION;SE4;SE
Karlsborgs Elnät AB;Karlsborg;KBG;DISTRIBUTION;SE3;SE
Karlshamn Elnät AB;Karlshamn;KHN;DISTRIBUTION;SE4;SE
Karlskoga Elnät AB;Karlskoga;KSA;DISTRIBUTION;SE3;SE
Affärsverken Elnät AB;Karlskrona;KKA;DISTRIBUTION;SE4;SE
Karlstads Elnät AB;Karlstad;KST;DISTRIBUTION;SE3;SE
Karskruv Nät AB;Karskruv;KAR;REGIONAL;SE4;SE
Tekniska verken i Katrineholm Nät AB;Katrineholmsbygden;KHB;DISTRIBUTION;SE3;SE
Ellevio AB;Kema Nord region;KEM;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Kind;KND;DISTRIBUTION;SE3;SE
Götene Elförening;Kinnekullebygden;KKB;DISTRIBUTION;SE3;SE
LKAB Nät AB;Kiruna LKAB;KLK;DISTRIBUTION;SE1;SE
Kraftringen Nät AB;Klippan;KPN;DISTRIBUTION;SE4;SE
Boda Nät ekonomiska förening;Knäpplan;KNP;DISTRIBUTION;SE3;SE
Svenska kraftnät;Konti-Skan st;KON;TRANSMISSION;SE3;SE
Ellevio AB;Kopparbergsbyggden;KOB;DISTRIBUTION;SE3;SE
Billerud Skog & Industri AB;Korsnäs;KNS;NONCON;SE3;SE
E.ON Energidistribution AB;Korsselbränna region;KBR;REGIONAL;SE2;SE
E.ON Energidistribution AB;Kramfors;KRF;DISTRIBUTION;SE2;SE
Fortum Sverige AB;Krångede region;KRG;REGIONAL;SE2;SE
C4 Elnät AB;Kristianstad-Åhus;KRS;DISTRIBUTION;SE4;SE
Kristinehamns Elnät AB;Kristinehamn;KRH;DISTRIBUTION;SE3;SE
Kungälv Energi AB;Kungälv;KUV;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Kungsbacka;KBA;DISTRIBUTION;SE3;SE
Ellevio AB;Kungsbacka region;KUB;REGIONAL;SE3;SE
Kvänumbygdens Energi ek. för;Kvänum;KVM;DISTRIBUTION;SE3;SE
Kvarnforsen Nät AB;Kvarnforsen;KFN;REGIONAL;SE2;SE
Brittedals Elnät ek för;Kviinge;KVI;DISTRIBUTION;SE4;SE
Södra Hallands Kraft ekonomisk förening;Laholm;LHM;DISTRIBUTION;SE4;SE
Landskrona Energi AB;Landskrona;LKA;DISTRIBUTION;SE4;SE
Fortum Sverige AB;Långå;LAA;REGIONAL;SE2;SE
Jämtkraft Elnät AB;Länsterhöjden;LAN;REGIONAL;SE2;SE
Lehtirova Nät AB;Lehtirova;LEH;PRODUCTION;SE1;SE
Dala Energi Elnät AB;Leksand-Rättvik;LER;DISTRIBUTION;SE3;SE
Lerum Nät AB;Lerum;LRM;DISTRIBUTION;SE3;SE
Ellevio AB;Lidingö;LDG;DISTRIBUTION;SE3;SE
Lidköping Elnät AB;Lidköping;LDK;DISTRIBUTION;SE3;SE
Ale El Elnät AB;Lilla Edet-Ale;LED;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Lillgrund;LGR;REGIONAL;SE4;SE
Ellevio AB;Lillhärdal Region;LHD;REGIONAL;SE2;SE
Linde Energi Elnät AB;Lindesberg;LDB;DISTRIBUTION;SE3;SE
Tekniska verken Linköping Nät AB;Linköping;LNK;DISTRIBUTION;SE3;SE
Fortum Sverige AB;Linnvasselv;LEV;REGIONAL;SE2;SE
E.ON Energidistribution AB;Ljungan Övre region;LJV;REGIONAL;SE2;SE
Ljungby Energinät AB;Ljungby;LBY;DISTRIBUTION;SE4;SE
Ljusdal Elnät AB;Ljusdal;LJD;DISTRIBUTION;SE2;SE
Kraftringen Nät AB;Lomma;LMA;DISTRIBUTION;SE4;SE
Luleå Energi Elnät AB;Luleå;LUL;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Luleälven Övre;LAO;DISTRIBUTION;SE1;SE
Kraftringen Nät AB;Lund;LUN;DISTRIBUTION;SE4;SE
Skellefteå Kraft Elnät AB;Lyckselebygden;LYX;DISTRIBUTION;SE2;SE
